CIDADE;QUANTIDADE_CRIMES;QUANTIDADE_POPULACAO;CRIMES_POR_100K
Santo Antônio da Alegria;1;6805;15.0
Piquerobi;1;3247;31.0
João Ramalho;1;4365;23.0
Alvinlândia;1;2862;35.0
Zacarias;1;2714;37.0
Oscar Bressane;1;2447;41.0
Ribeirão Grande;1;7422;13.0
3547106.0;1;0;inf
Uru;1;1394;72.0
Platina;1;3009;33.0
Pedrinhas Paulista;1;2791;36.0
São João do Pau d'Alho;1;2248;44.0
Pracinha;1;2565;39.0
3547403.0;1;0;inf
