CIDADE,QUANTIDADE_CRIMES,QUANTIDADE_POPULACAO,CRIMES_POR_100K,IDMH,cod_ibge,cod_ra,reg_administrativa,reg_metropolitanas,ideb2019
São José do Rio Pardo,101,52104,194.0,0.77,3549706,686,RA de Campinas,Demais municípios,4.5
Descalvado,100,31782,315.0,0.76,3513702,693,RA Central,Demais municípios,4.8
Dracena,100,45569,219.0,0.77,3514403,691,RA de Presidente Prudente,Demais municípios,4.7
Cordeirópolis,100,24768,404.0,0.75,3512407,686,RA de Campinas,RM de Piracicaba,4.3
Lençóis Paulista,100,66829,150.0,0.76,3526803,688,RA de Bauru,Demais municípios,4.9
Guaíra,98,39380,249.0,0.75,3517406,694,RA de Barretos,Demais municípios,4.9
Espírito Santo do Pinhal,96,39582,243.0,0.78,3515186,686,RA de Campinas,Demais municípios,4.8
Pontal,95,37323,255.0,0.72,3540200,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.5
Iguape,94,29043,324.0,0.72,3520301,682,RA de Registro,Demais municípios,4.8
Cajati,93,28495,326.0,0.69,3509254,682,RA de Registro,Demais municípios,4.5
São Manuel,90,37153,242.0,0.74,3550100,685,RA de Sorocaba,Demais municípios,4.5
Tremembé,89,51803,172.0,0.78,3554805,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.4
Santa Bárbara d'Oeste,89,183284,49.0,0.78,3545803,686,RA de Campinas,RM de Campinas,4.8
Ibaté,89,32205,276.0,0.7,3519303,693,RA Central,Demais municípios,4.7
Piedade,88,52905,166.0,0.71,3537800,685,RA de Sorocaba,RM de Sorocaba,4.8
Barrinha,85,32270,263.0,0.72,3505609,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.5
Agudos,85,37839,225.0,0.74,3500709,688,RA de Bauru,Demais municípios,4.5
Santa Rita do Passa Quatro,84,24668,341.0,0.77,3547502,693,RA Central,RM de Ribeirao Preto,4.4
Morro Agudo,83,27796,299.0,0.71,3531902,695,RA de Franca,RM de Ribeirao Preto,4.6
Socorro,83,40254,206.0,0.72,3552106,686,RA de Campinas,Demais municípios,4.9
Igarapava,83,26019,319.0,0.76,3520103,695,RA de Franca,Demais municípios,4.1
Cachoeira Paulista,79,31604,250.0,0.76,3508603,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.6
